cell_id,dataset,condition,realization,order,benchmark,status,value,passes,operator,threshold,role,reason,planned,scored,numerator,wilson95,paired_population_sha256,equivalence,interpretation,measured,ceiling
bca38cd4398e1159ed781bff,zsre,v0_live_C2,0,100,retention_change,unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
bca38cd4398e1159ed781bff,zsre,v0_live_C2,0,100,es_change,unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
bca38cd4398e1159ed781bff,zsre,v0_live_C2,0,100,ls_change,unavailable,unavailable,unavailable,ge,-0.01,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
bca38cd4398e1159ed781bff,zsre,v0_live_C2,0,100,state_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
bca38cd4398e1159ed781bff,zsre,v0_live_C2,0,100,peak_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
bca38cd4398e1159ed781bff,zsre,v0_live_C2,0,100,wall_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
68da09e4a00f4fe8d8b054fd,zsre,v0_live_C2,0,101,revision_latest,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
68da09e4a00f4fe8d8b054fd,zsre,v0_live_C2,0,101,old_alias_reappearance,unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
68da09e4a00f4fe8d8b054fd,zsre,v0_live_C2,0,101,revision_semantic,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
68da09e4a00f4fe8d8b054fd,zsre,v0_live_C2,0,101,unseen_1000,unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete outside100 at actual occupancy1000 required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
68da09e4a00f4fe8d8b054fd,zsre,v0_live_C2,0,101,outside_change_1000_100,unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,same outside100 and both exact actual occupancies required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_single_cell_has_no_realization_cluster_interval,unavailable,unavailable,unavailable
68da09e4a00f4fe8d8b054fd,zsre,v0_live_C2,0,101,retention_change,unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
68da09e4a00f4fe8d8b054fd,zsre,v0_live_C2,0,101,es_change,unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
68da09e4a00f4fe8d8b054fd,zsre,v0_live_C2,0,101,ls_change,unavailable,unavailable,unavailable,ge,-0.01,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
68da09e4a00f4fe8d8b054fd,zsre,v0_live_C2,0,101,state_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
68da09e4a00f4fe8d8b054fd,zsre,v0_live_C2,0,101,peak_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
68da09e4a00f4fe8d8b054fd,zsre,v0_live_C2,0,101,wall_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
da666451073f38000c71b39f,zsre,v0_live_C2,0,102,revision_latest,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
da666451073f38000c71b39f,zsre,v0_live_C2,0,102,old_alias_reappearance,unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
da666451073f38000c71b39f,zsre,v0_live_C2,0,102,revision_semantic,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
da666451073f38000c71b39f,zsre,v0_live_C2,0,102,unseen_1000,unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete outside100 at actual occupancy1000 required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
da666451073f38000c71b39f,zsre,v0_live_C2,0,102,outside_change_1000_100,unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,same outside100 and both exact actual occupancies required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_single_cell_has_no_realization_cluster_interval,unavailable,unavailable,unavailable
da666451073f38000c71b39f,zsre,v0_live_C2,0,102,retention_change,unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
da666451073f38000c71b39f,zsre,v0_live_C2,0,102,es_change,unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
da666451073f38000c71b39f,zsre,v0_live_C2,0,102,ls_change,unavailable,unavailable,unavailable,ge,-0.01,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
da666451073f38000c71b39f,zsre,v0_live_C2,0,102,state_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
da666451073f38000c71b39f,zsre,v0_live_C2,0,102,peak_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
da666451073f38000c71b39f,zsre,v0_live_C2,0,102,wall_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
57b0ace8ad261f0963cece6e,zsre,v0_live_C2,0,103,revision_latest,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
57b0ace8ad261f0963cece6e,zsre,v0_live_C2,0,103,old_alias_reappearance,unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
57b0ace8ad261f0963cece6e,zsre,v0_live_C2,0,103,revision_semantic,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
57b0ace8ad261f0963cece6e,zsre,v0_live_C2,0,103,unseen_1000,unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete outside100 at actual occupancy1000 required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
57b0ace8ad261f0963cece6e,zsre,v0_live_C2,0,103,outside_change_1000_100,unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,same outside100 and both exact actual occupancies required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_single_cell_has_no_realization_cluster_interval,unavailable,unavailable,unavailable
57b0ace8ad261f0963cece6e,zsre,v0_live_C2,0,103,retention_change,unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
57b0ace8ad261f0963cece6e,zsre,v0_live_C2,0,103,es_change,unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
57b0ace8ad261f0963cece6e,zsre,v0_live_C2,0,103,ls_change,unavailable,unavailable,unavailable,ge,-0.01,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
57b0ace8ad261f0963cece6e,zsre,v0_live_C2,0,103,state_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
57b0ace8ad261f0963cece6e,zsre,v0_live_C2,0,103,peak_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
57b0ace8ad261f0963cece6e,zsre,v0_live_C2,0,103,wall_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
b1be521b209066effb830ad1,zsre,v0_live_C2,0,104,revision_latest,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
b1be521b209066effb830ad1,zsre,v0_live_C2,0,104,old_alias_reappearance,unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
b1be521b209066effb830ad1,zsre,v0_live_C2,0,104,revision_semantic,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
b1be521b209066effb830ad1,zsre,v0_live_C2,0,104,unseen_1000,unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete outside100 at actual occupancy1000 required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
b1be521b209066effb830ad1,zsre,v0_live_C2,0,104,outside_change_1000_100,unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,same outside100 and both exact actual occupancies required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_single_cell_has_no_realization_cluster_interval,unavailable,unavailable,unavailable
b1be521b209066effb830ad1,zsre,v0_live_C2,0,104,retention_change,unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
b1be521b209066effb830ad1,zsre,v0_live_C2,0,104,es_change,unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
